factor,hold_day,mean_ic,std_ic,pos_pct,days,icir
rs_vola_std,5,-0.039262158257195416,0.10752119971980327,34.45378151260504,238,-0.36515736765876233
rs_vola_std,10,-0.03719604277207546,0.09605600049523398,32.61802575107296,233,-0.38723289102507463
rs_vola_std,20,-0.02935439961909293,0.08399708534618791,39.01345291479821,223,-0.3494692642978134
rsi_14,1,-0.033042367475801325,0.1113453059305398,36.36363636363637,242,-0.29675581920277844
rsi_14,3,-0.03818095832454229,0.09924092562705564,35.833333333333336,240,-0.384729969851603
rsi_14,5,-0.04098702818797144,0.0981543962480004,32.773109243697476,238,-0.4175771005142974
rsi_14,10,-0.03950158672595873,0.09428465443530303,36.9098712446352,233,-0.4189609323229183
rsi_14,20,-0.028251790225773312,0.09327858532462245,39.91031390134529,223,-0.3028754148388202
trend_strength,1,-0.009796609992622786,0.0675533687925685,39.66942148760331,242,-0.14502030272841854
trend_strength,3,-0.009516696558806456,0.06132467496796077,42.916666666666664,240,-0.15518543822333306
trend_strength,5,-0.00985658839254052,0.06347683995933111,41.17647058823529,238,-0.15527849840753769
trend_strength,10,-0.013669440902351988,0.05805113476751451,39.05579399141631,233,-0.23547241508879901
trend_strength,20,-0.019873797528871966,0.05406028913781942,33.6322869955157,223,-0.36762284933782724
up_days,1,0.0007274377865001258,0.021498178807294332,49.528301886792455,212,0.03383718188506769
up_days,3,0.00042990903224575063,0.021090778816443563,51.90476190476191,210,0.020383743814646107
up_days,5,-0.0009824758935764752,0.02184492957260706,50.96153846153846,208,-0.04497500851678061
up_days,10,-0.003049769712366395,0.020884052948817775,44.827586206896555,203,-0.14603342176160491
up_days,20,-0.0033735568920874484,0.019068977984159793,40.41450777202073,193,-0.1769133560744468
upper_shadow,1,-0.013019766765656455,0.08252954035730384,42.14876033057851,242,-0.15775886681651935
upper_shadow,3,0.0045764837029237775,0.07169532629127454,51.66666666666667,240,0.06383238545189165
upper_shadow,5,0.007055740333699369,0.07201514378273627,52.10084033613446,238,0.09797578624554237
upper_shadow,10,0.005485510875984518,0.07305200929618386,54.506437768240346,233,0.07509048592686791
upper_shadow,20,0.0025702421291646693,0.0692709861323004,52.01793721973094,223,0.03710416543306852
vol_ratio,1,-0.036171532320097836,0.091088313080823,33.88429752066116,242,-0.39710398729201074
vol_ratio,3,-0.04079179406117806,0.08618438168978673,31.25,240,-0.4733084262065558
vol_ratio,5,-0.04391277744835775,0.08086759292510401,31.932773109243694,238,-0.5430207065644679
vol_ratio,10,-0.048193987743503496,0.06491543214701717,22.746781115879827,233,-0.7424118757209565
vol_ratio,20,-0.04163523233926477,0.07230101018651942,26.905829596412556,223,-0.5758596212121486
vol_spike,1,-0.028006336328018088,0.04111738344135816,21.90082644628099,242,-0.6811312876453065
vol_spike,3,-0.026463809398655985,0.03959332086283351,22.5,240,-0.6683907492967514
vol_spike,5,-0.0305623107900655,0.03932300245462792,21.008403361344538,238,-0.7772120357627632
vol_spike,10,-0.034920716694035056,0.035176078369113205,14.592274678111588,233,-0.992740473443385
vol_spike,20,-0.03287179423999698,0.033289830724713844,14.798206278026907,223,-0.9874425169603966
vola_10d,1,-0.05313962533225278,0.15321841688858273,36.77685950413223,242,-0.34682270193990333
vola_10d,3,-0.06102708330345132,0.13141213544579872,32.916666666666664,240,-0.4643945789057062
vola_10d,5,-0.06440397254199501,0.1264225511839021,31.932773109243694,238,-0.5094342104227036
vola_10d,10,-0.06889338290460179,0.1181663643306963,31.330472103004293,233,-0.5830202468766759
vola_10d,20,-0.0721231022365875,0.10338271259356181,27.802690582959645,223,-0.6976321323675442
vola_20d,1,-0.05033199723543484,0.16537046341078127,41.32231404958678,242,-0.3043590505664234
vola_20d,3,-0.05800493773556613,0.143182182047117,35.833333333333336,240,-0.4051128213458741
vola_20d,5,-0.060887691992920316,0.13690293770583015,33.193277310924366,238,-0.4447508067632018
vola_20d,10,-0.06396517586667119,0.12975823921715277,33.47639484978541,233,-0.49295656485924033
vola_20d,20,-0.06894968219912685,0.11888523229551543,33.18385650224215,223,-0.5799684356736355
vola_5d,1,-0.050728061773932125,0.13465670219025747,35.12396694214876,242,-0.3767214030108807
vola_5d,3,-0.05400527800546133,0.11961815269346547,31.666666666666664,240,-0.4514806222083677
vola_5d,5,-0.058049226757000964,0.11719721108038507,33.193277310924366,238,-0.4953123561718994
vola_5d,10,-0.06180592041172561,0.11200532912852759,33.047210300429185,233,-0.551812319044235
vola_5d,20,-0.06526157211700269,0.09501901663878179,28.699551569506728,223,-0.6868264314405285
vola_60d,1,-0.03877445277013774,0.17728144776983504,42.97520661157025,242,-0.2187169230503956
vola_60d,3,-0.044399045240282535,0.1577714160040236,37.5,240,-0.2814137463224025
vola_60d,5,-0.046022851304205914,0.14970039904396962,36.97478991596639,238,-0.3074330569465496
vola_60d,10,-0.047945923772220685,0.14473551882895358,36.05150214592275,233,-0.33126577470511925
vola_60d,20,-0.0550506271864135,0.1360798209310814,32.28699551569507,223,-0.4045465875083293
vola_ratio_5_10,1,-0.013213319439916407,0.07305138064322075,43.80165289256198,242,-0.18087706657386243
vola_ratio_5_10,3,-0.00803117223798586,0.07220152443132713,44.583333333333336,240,-0.1112327239797344
vola_ratio_5_10,5,-0.009155295829606109,0.07090161442798205,43.27731092436975,238,-0.1291267611248197
vola_ratio_5_10,10,-0.010940196506913052,0.0670255606111617,45.06437768240343,233,-0.16322424470838656
vola_ratio_5_10,20,-0.012568818522834865,0.059486865074704603,38.56502242152467,223,-0.21128729017827266
vola_ratio_5_60,1,-0.03241308108496579,0.08955344207323544,32.231404958677686,242,-0.3619412088980216
vola_ratio_5_60,3,-0.034750842369729515,0.08601561034895673,32.5,240,-0.4040062289710998
vola_ratio_5_60,5,-0.03853884722123295,0.08694936349307254,31.512605042016805,238,-0.4432332299281688
vola_ratio_5_60,10,-0.04419815410514897,0.0825336637609117,26.180257510729614,233,-0.5355166860541263
vola_ratio_5_60,20,-0.045468195987821425,0.07313441395984709,24.663677130044842,223,-0.621707258265374
vola_shrink,1,-0.015866370829408928,0.07404321521411146,42.97520661157025,242,-0.21428527628801633
vola_shrink,3,-0.021557524052433007,0.07471748126663519,40.416666666666664,240,-0.28852048659808666
vola_shrink,5,-0.023581057095962397,0.06982474906425278,34.45378151260504,238,-0.33771774925052855
